;Values;Average_difference;Average_value;Std_values;videoid;channel
0;Hue;2.6743205799743266;286.4000063380052;119.0897928015425;11;PinkFong
1;Lightness;0.4343986821898079;60.52816091426824;17.574279118822144;11;PinkFong
2;Saturation;0.5706633785135763;61.17459107645657;24.599458891334848;11;PinkFong
0;Hue;1.021466090989979;119.39205604966249;135.66885007059528;12;PinkFong
1;Lightness;0.22014472943224273;61.54591542678152;12.714215431982522;12;PinkFong
2;Saturation;0.27509071827164283;61.04083545482927;18.657781435602644;12;PinkFong
0;Hue;0.9379402660946881;236.2577331266205;127.70134347381874;13;PinkFong
1;Lightness;0.17514730646313303;48.776495501975376;23.829022769154598;13;PinkFong
2;Saturation;0.16549994525861383;62.427798271674426;18.714195478328325;13;PinkFong
0;Hue;2.1973686298061654;304.09077324965534;117.37097615276745;14;PinkFong
1;Lightness;0.4057493456622661;57.80420364145658;22.788655431027724;14;PinkFong
2;Saturation;0.4304667163390202;38.6710072319837;26.418823079218964;14;PinkFong
0;Hue;1.3954233976387707;321.29634709321437;107.8187983829865;15;PinkFong
1;Lightness;0.24563114287860746;58.131808256216296;19.8031363805605;15;PinkFong
2;Saturation;0.3074402481299033;60.82571986802929;20.482648901702667;15;PinkFong
0;Hue;0.9634437443159677;120.29428505149156;111.20339076588724;16;PinkFong
1;Lightness;0.24171173430612564;64.6178349066459;14.252967283803642;16;PinkFong
2;Saturation;0.22911401175457272;58.564877395582066;19.012811919504017;16;PinkFong
0;Hue;2.225767791104168;254.7488238874976;147.77954695455094;17;PinkFong
1;Lightness;0.34960413461159123;53.927916103222906;17.5842451750703;17;PinkFong
2;Saturation;0.4383821584972015;57.64692723687176;24.199888576976818;17;PinkFong
0;Hue;0.9174634333279429;432.51203430555626;33.994167398188154;18;PinkFong
1;Lightness;0.23359858509105183;81.19022177989628;11.070396994089304;18;PinkFong
2;Saturation;0.14325187999475975;89.09988357515758;5.39079852136322;18;PinkFong
0;Hue;1.8330704724195912;316.2772621224712;104.3362170651126;19;PinkFong
1;Lightness;0.2543235008566533;60.76268945763212;13.538216016588661;19;PinkFong
2;Saturation;0.3435920140871882;50.81306115496429;19.39757681760789;19;PinkFong
0;Hue;3.0033644192566005;303.1652228729721;131.0859674952381;20;PinkFong
1;Lightness;0.37814426275925533;58.69495197458269;19.16991884020922;20;PinkFong
2;Saturation;0.584758632406031;50.88098988826855;29.04783453504344;20;PinkFong
0;Hue;1.2484693748883189;272.4613242801891;70.51642662869227;1;SuperSimpleSongs
1;Lightness;0.2521863514265091;53.24815627125662;13.705827974047116;1;SuperSimpleSongs
2;Saturation;0.25135492917746466;52.84771761156952;11.239342406469866;1;SuperSimpleSongs
0;Hue;1.8811647320470908;323.09210376985004;35.68978168596837;2;SuperSimpleSongs
1;Lightness;0.2660005148104532;59.201602117749985;6.321124513067111;2;SuperSimpleSongs
2;Saturation;0.1930492351847203;59.61480433328187;6.284200034515187;2;SuperSimpleSongs
0;Hue;0.7323682436763169;178.80714882604397;78.94379191213974;3;SuperSimpleSongs
1;Lightness;0.08707874583339381;20.75354369927547;7.630768611176522;3;SuperSimpleSongs
2;Saturation;0.10842391257020943;17.349727241069097;5.93487433535558;3;SuperSimpleSongs
0;Hue;1.525188839760679;309.91722354996654;95.53089165199039;4;SuperSimpleSongs
1;Lightness;0.19456114495037696;65.29091992202285;7.456199818169282;4;SuperSimpleSongs
2;Saturation;0.22024591444108432;56.87417205125294;8.194127779259109;4;SuperSimpleSongs
0;Hue;1.5471239591212946;314.4116596570875;141.0771596484131;5;SuperSimpleSongs
1;Lightness;0.242715147716261;71.08184606906687;19.071822976007507;5;SuperSimpleSongs
2;Saturation;0.16462420161891686;83.11050739796286;10.103143498031901;5;SuperSimpleSongs
0;Hue;1.687141527395312;211.42183057544025;60.72815142337664;6;SuperSimpleSongs
1;Lightness;0.2832533359847213;62.547912754624456;11.364146391601336;6;SuperSimpleSongs
2;Saturation;0.2029134777511259;68.6411337177034;7.757721945936092;6;SuperSimpleSongs
0;Hue;1.8102943382442227;219.5762884559815;64.5913292134949;7;SuperSimpleSongs
1;Lightness;0.3459676947840389;63.32952403791977;12.285960463692717;7;SuperSimpleSongs
2;Saturation;0.2831699968652811;50.59148426583277;9.941961962654359;7;SuperSimpleSongs
0;Hue;3.3634050022120023;302.5212074582377;136.63999247869907;8;SuperSimpleSongs
1;Lightness;0.3060163860101027;66.53683802670004;18.363218267416453;8;SuperSimpleSongs
2;Saturation;0.3327877963544739;57.02987809280832;15.745945394001591;8;SuperSimpleSongs
0;Hue;1.7524441804153235;344.1811446016272;108.65810693903632;9;SuperSimpleSongs
1;Lightness;0.33235970509003265;66.35999655622402;27.388226807636098;9;SuperSimpleSongs
2;Saturation;0.22975847574248767;78.4362765193681;16.922364722620514;9;SuperSimpleSongs
0;Hue;0.4314117623669284;123.85080452071999;57.913226631374705;10;SuperSimpleSongs
1;Lightness;0.07686332795626101;20.542563087352985;10.510465375438304;10;SuperSimpleSongs
2;Saturation;0.09201560582365666;26.741298689253853;7.653812598624783;10;SuperSimpleSongs
0;Hue;0.7245712180612907;421.2693346305944;49.05977547383866;11;SuperSimpleSongs
1;Lightness;0.11648645670332589;86.95196942057723;5.418638168853827;11;SuperSimpleSongs
2;Saturation;0.12679336462947868;85.84004241756627;9.520419146530298;11;SuperSimpleSongs
0;Hue;0.9541652128600688;206.27442903719427;82.91177881640795;12;SuperSimpleSongs
1;Lightness;0.18963152566883584;31.478936600881944;15.987397079704818;12;SuperSimpleSongs
2;Saturation;0.23348514312449492;33.305944540123576;17.125075390225053;12;SuperSimpleSongs
0;Hue;0.36725425082678637;395.27659108336076;37.50462758929438;13;SuperSimpleSongs
1;Lightness;0.0499699471767783;83.93500698022129;3.6589389991222037;13;SuperSimpleSongs
2;Saturation;0.04566338444706563;84.13894602930498;5.444838384072637;13;SuperSimpleSongs
0;Hue;0.948055697024814;272.1126387125998;52.91380490801497;14;SuperSimpleSongs
1;Lightness;0.16266144550843584;50.216861616835054;12.936088857254248;14;SuperSimpleSongs
2;Saturation;0.11677244642042862;46.71047935221749;9.69045692164731;14;SuperSimpleSongs
0;Hue;1.3429036557404956;203.65302140589205;82.9733835245968;15;SuperSimpleSongs
